Close,High,Low,Open,Volume
750.4500122070312,759.7000122070312,747.7999877929688,756.5999755859375,43937132
749.5999755859375,759.9500122070312,747.3499755859375,752.0,28960919
769.5499877929688,778.2999877929688,747.0,751.0,50992358
767.5,781.9000244140625,765.4000244140625,773.0,24347873
768.6500244140625,774.0999755859375,751.3499755859375,759.0,29812079
762.4500122070312,770.7999877929688,760.25,766.7000122070312,40307830
759.5,762.25,755.1500244140625,759.5999755859375,24013451
759.1500244140625,768.25,755.1500244140625,767.0,34664725
766.7999877929688,775.0,759.1500244140625,759.1500244140625,25604071
786.8499755859375,787.8499755859375,775.2000122070312,776.0,26043952
778.9000244140625,790.8499755859375,776.75,784.0499877929688,31528062
758.6500244140625,773.9000244140625,756.9000244140625,769.5,63680153
758.6500244140625,758.6500244140625,758.6500244140625,758.6500244140625,0
744.5499877929688,760.5,737.75,746.0499877929688,101299431
742.7000122070312,752.3499755859375,739.2000122070312,749.0,47996441
748.25,753.5999755859375,733.1500244140625,737.0,47314447
753.6500244140625,756.9000244140625,742.5999755859375,744.4500122070312,36109480
754.2000122070312,757.2999877929688,745.0,749.1500244140625,42673538
747.0499877929688,758.7000122070312,744.6500244140625,753.9500122070312,22116568
738.6500244140625,741.5,734.5,738.0,21550700
738.3499755859375,743.9500122070312,732.2999877929688,739.4500122070312,38539563
746.8499755859375,755.9500122070312,736.4000244140625,736.5,44458159
744.5999755859375,756.0,740.0999755859375,743.0,32632007
772.4500122070312,774.4500122070312,753.0999755859375,754.7000122070312,36088159
