Close,High,Low,Open,Volume
892.8499755859375,922.2999877929688,890.0999755859375,920.0,1374763
892.5,906.7999877929688,890.2999877929688,891.0,1428120
907.9000244140625,914.5,886.2000122070312,895.0,1862991
886.4000244140625,910.0,881.9500122070312,910.0,1437283
892.1500244140625,895.9000244140625,870.2000122070312,885.75,1421988
895.25,904.0999755859375,888.7999877929688,898.5,1303728
897.1500244140625,900.7999877929688,881.1500244140625,885.5499877929688,2947978
899.9500122070312,913.9000244140625,892.2999877929688,905.5,2144884
910.1500244140625,914.5,902.7000122070312,903.0,1165558
926.0999755859375,933.5,920.1500244140625,920.1500244140625,1193834
932.2999877929688,935.0,921.0,926.2000122070312,2323571
932.2999877929688,939.7999877929688,928.0,930.5,1088920
932.2999877929688,932.2999877929688,932.2999877929688,932.2999877929688,0
914.3499755859375,940.2000122070312,910.3499755859375,930.5999755859375,3160610
901.1500244140625,925.9000244140625,896.7999877929688,917.75,1597794
912.5,915.7999877929688,890.4500122070312,893.2999877929688,1756559
899.9500122070312,907.9000244140625,884.0499877929688,907.0999755859375,2302274
903.2000122070312,907.0999755859375,895.5,903.7000122070312,1798199
904.7999877929688,925.7999877929688,896.0999755859375,899.0,1890312
895.0499877929688,903.7000122070312,881.0,881.0,1864831
922.7999877929688,928.0,896.0499877929688,896.0499877929688,1694676
883.9500122070312,923.75,881.8499755859375,922.8499755859375,1993081
888.9500122070312,897.5999755859375,881.75,883.8499755859375,1768283
917.3499755859375,919.7000122070312,889.9500122070312,901.4500122070312,2663666
