Close,High,Low,Open,Volume
1116.1473388671875,1137.3876630949442,1099.2137225952,1137.3876630949442,16891948
1099.3115234375,1118.398492694932,1097.2560275682617,1112.5255790772605,6664111
1071.8067626953125,1098.137016652994,1065.933848927119,1096.0815207310736,16914842
1095.2984619140625,1109.1976439317652,1078.266987402901,1078.658538900176,17482450
1118.3006591796875,1121.8243835304838,1094.319594715878,1095.2984136735845,12096377
1171.5484619140625,1173.0166903851343,1137.3876555901809,1137.3876555901809,32175705
1168.4161376953125,1181.3366195800531,1159.802602590221,1161.8580984968487,15121010
1156.180908203125,1176.3446743746752,1152.0699163634372,1170.7653346096859,10021033
1149.622802734375,1166.5564175672662,1147.6651649263981,1157.4533539662823,8803066
1143.75,1159.900513478819,1141.4008105061328,1157.9428754813864,5856136
1142.966796875,1155.6914427435413,1138.2685377836078,1141.5965459846338,8005767
1135.3321533203125,1142.5754376343073,1130.5359164445094,1136.4088302961693,6371871
1135.3321533203125,1135.3321533203125,1135.3321533203125,1135.3321533203125,0
1136.3109130859375,1184.370898370815,1129.1654871448488,1156.96396849116,69085430
1177.02978515625,1191.222659904496,1148.8397516554953,1150.1122640819906,19439331
1243.8831787109375,1251.811588367994,1206.3943648530496,1206.3943648530496,36032600
1196.7039794921875,1223.425783618914,1190.2437985614154,1215.7909483013548,18534303
1175.855224609375,1189.4607121046952,1170.8631524946943,1182.4132636253246,12755957
1172.1357421875,1197.8787294549086,1169.0035692089534,1194.159169493737,8692290
1162.4453125,1175.26781631171,1151.5804465064052,1152.559265415463,8631711
1155.300048828125,1168.3182691086097,1142.5754025403635,1168.3182691086097,10984054
1145.300048828125,1171.4000244140625,1143.300048828125,1160.0999755859375,8887626
1114.5999755859375,1133.699951171875,1109.0,1129.699951171875,9372176
1116.4000244140625,1123.300048828125,1111.5,1120.0,8075333
